PanjivaRecordID,HSCode,ShipmentDestination,ShipperPanjivaID,TransportMethod
4356501,17,22,87,0
4368981,45,22,64,0
4400405,4,22,38,0
4400597,50,22,64,0
4400725,25,22,64,0
4416533,25,22,64,0
4416981,50,27,4,0
4434069,50,22,64,0
4462165,51,22,64,0
4462229,43,22,64,0
4463829,50,22,40,0
4468693,25,22,64,0
4370965,46,22,33,0
4373461,28,4,34,1
4374741,46,27,33,0
4378453,46,22,67,0
4360853,6,12,35,2
4392597,16,4,41,2
4420693,49,24,83,2
4448789,55,3,57,2
4460949,45,13,85,2
4398229,46,26,55,0
4437781,17,26,51,1
4421584,23,6,23,0
4432912,2,24,43,2
4449296,25,26,41,0
4449616,25,24,65,2
4449680,13,6,23,0
4454672,47,29,41,0
4454736,2,24,43,2
4454992,23,27,23,0
4356240,8,24,88,2
4356432,19,8,16,2
4361808,1,9,61,2
4361872,10,10,63,2
4361232,25,6,23,0
4361296,40,6,23,0
4367120,51,27,23,0
4381136,10,10,68,2
4399504,19,8,66,2
4393040,50,6,23,0
4399568,19,8,16,2
4406800,20,8,36,2
4368848,25,22,38,0
4416464,19,8,17,2
4421840,46,24,52,2
4399120,52,26,41,0
4433680,20,8,36,2
4433744,20,8,29,2
4433808,20,8,29,2
4439248,19,8,29,2
4443664,10,10,82,2
4356496,50,22,87,0
4377744,43,22,64,0
4381712,50,27,24,0
4400400,43,22,38,0
4400784,45,22,64,0
4462160,25,22,64,0
4462224,50,22,64,0
4468688,50,22,64,0
4357264,23,24,59,2
4409424,46,26,67,0
4424272,39,26,50,1
4444752,23,24,59,2
4470672,46,26,67,0
4360144,14,24,41,2
4360464,47,13,20,2
4360848,6,12,35,2
4375056,46,15,46,2
4385616,45,5,85,2
4397328,46,24,52,2
4420432,13,23,41,2
4420624,49,24,83,2
4460880,46,24,33,2
4398352,13,26,39,0
4432848,47,22,38,0
4373264,1,26,51,1
4432915,2,24,43,2
4449683,50,6,23,0
4454739,2,24,43,2
4454995,23,27,23,0
4356243,8,24,88,2
4356435,19,8,16,2
4361875,10,10,63,2
4381075,19,8,54,2
4381139,10,10,68,2
