PanjivaRecordID,HSCode,ShipmentDestination,ShipperPanjivaID,TransportMethod
4356226,41,24,88,1
4356354,13,0,68,1
4356418,40,4,17,1
4361794,30,7,61,1
4355650,18,24,43,0
4387010,9,4,18,1
4387074,24,2,22,1
4399490,40,4,66,1
4393026,30,22,23,2
4399554,40,4,16,1
4406786,9,4,36,1
4416322,40,4,29,1
4393474,23,24,65,1
4421826,41,24,88,1
4433666,9,4,36,1
4433794,9,4,29,1
4356482,47,3,87,2
4369026,45,3,64,2
4433858,30,3,64,2
4461762,45,3,64,2
4357250,39,24,59,1
4371970,50,3,76,2
4372098,21,16,81,0
4401218,36,24,73,0
4444738,39,24,59,1
4469314,0,22,32,2
4392450,20,1,20,1
4425282,14,24,52,1
4472578,20,26,71,1
4454210,23,9,5,2
4400642,25,3,38,2
4421478,23,24,65,1
4421606,41,22,23,2
4449254,55,9,41,2
4454758,18,24,43,1
4356262,42,24,88,1
4356390,40,4,47,1
4361382,18,24,43,1
4366886,23,24,65,1
4377510,23,24,65,1
4381094,40,4,86,1
4386982,13,0,22,1
4393190,18,24,43,1
4406758,9,4,36,1
4411494,40,4,54,1
4416358,40,4,29,1
4421798,41,24,88,1
4398694,30,25,23,2
4426854,42,4,30,1
4433638,9,4,36,1
4433702,9,4,36,1
4433766,9,4,29,1
4356518,14,25,31,2
4381542,41,3,90,2
4400614,23,3,64,2
4400742,44,3,64,2
4432806,30,3,64,2
4432870,45,3,64,2
4462246,41,3,64,2
4403430,0,24,37,0
4440870,14,3,67,2
4471206,14,3,33,2
4365222,54,24,20,1
4392550,48,1,39,1
4392614,46,16,41,1
4453606,44,1,40,1
4442854,23,9,5,2
4421474,23,24,65,1
4426594,23,24,65,1
4449698,23,24,65,1
4454626,7,12,41,2
4356258,41,24,88,1
4356386,40,4,30,1
4361826,23,7,61,1
4361186,30,22,23,2
4361378,18,24,43,1
4361634,44,24,75,0
4366562,19,25,23,2
4380962,9,4,70,1
4392994,41,22,23,2
4393186,18,24,43,1
4406754,9,4,36,1
4416354,40,4,29,1
4416418,40,4,16,1
4416482,42,4,15,1
4421794,41,24,88,1
4398690,30,25,23,2
4433634,9,4,36,1
4433698,9,4,36,1
4433762,9,4,29,1
4443682,13,0,68,1
4416290,23,24,65,1
4393762,23,25,5,2
4400674,30,3,64,2
4427106,27,3,45,2
4463906,14,25,31,2
4395746,1,27,69,1
4395810,1,27,69,1
4360034,45,23,41,1
4392290,20,16,20,1
4392546,48,1,39,1
4400546,23,3,38,2
4454629,45,12,41,2
4454757,18,24,43,1
4356261,42,24,88,1
4356389,40,4,47,1
4361381,18,24,43,1
4366565,19,25,23,2
4380965,9,4,70,1
4381093,40,4,86,1
4392997,41,22,23,2
4393189,18,24,43,1
4406757,9,4,36,1
4411557,28,4,44,1
4416357,40,4,29,1
4416421,40,4,16,1
4416485,42,4,15,1
4421797,41,24,88,1
4398693,30,25,23,2
4426853,42,4,30,1
4433637,9,4,36,1
4399205,48,9,41,2
4433701,9,4,36,1
4433765,9,4,29,1
4443685,13,0,68,1
4381541,41,3,90,2
4400613,48,3,64,2
4462245,41,3,64,2
4372261,34,24,37,0
4403429,0,24,37,0
4436325,14,9,67,2
4360037,20,23,41,1
4453605,34,1,40,1
4400549,2,3,38,2
4420709,55,24,83,1
4420773,55,24,83,1
4420837,23,24,83,1
4432916,18,24,43,1
4449620,23,24,65,1
4454740,18,24,43,1
4454996,39,25,23,2
4356244,42,24,88,1
4356436,40,4,16,1
4361876,13,0,63,1
4361748,23,24,65,1
4381140,13,0,68,1
4399508,40,4,66,1
4399572,40,4,16,1
4406740,9,4,36,1
4406804,9,4,36,1
4416404,40,4,16,1
4416468,40,4,84,1
4426836,13,0,63,1
4433684,9,4,36,1
4433748,9,4,29,1
4433812,9,4,29,1
4443668,13,0,82,1
4368916,20,3,38,2
4443732,40,4,79,1
4421204,18,24,43,0
4356500,1,3,87,2
4400020,41,3,64,2
4400596,44,3,64,2
4400724,23,3,64,2
4416980,30,25,4,2
4358100,14,9,67,2
4462164,45,3,64,2
4468692,48,3,64,2
4373460,21,16,34,0
4360084,55,24,41,1
4360852,29,8,35,1
4392468,20,1,20,1
4397268,52,24,80,1
4397524,3,17,41,1
4420628,55,24,83,1
4448788,5,11,57,1
4460948,30,17,85,1
4432917,18,24,43,1
4449621,23,24,65,1
4454741,18,24,43,1
4454997,39,25,23,2
4356245,41,24,88,1
4356437,40,4,16,1
4361877,13,0,63,1
4381141,13,0,68,1
4399509,40,4,66,1
4399573,40,4,16,1
4406741,9,4,36,1
4406805,9,4,36,1
4416405,40,4,16,1
4416469,40,4,84,1
4426837,13,0,63,1
4433685,9,4,36,1
4433749,9,4,29,1
4433813,9,4,18,1
4443669,40,4,79,1
4356501,1,3,87,2
4368981,45,3,64,2
4400405,2,3,38,2
4400597,30,3,64,2
4400725,23,3,64,2
4416533,23,3,64,2
4416981,30,25,4,2
4434069,30,3,64,2
4462165,41,3,64,2
4462229,48,3,64,2
4463829,30,3,40,2
4468693,23,3,64,2
4370965,14,3,33,2
4373461,21,16,34,0
4374741,14,25,33,2
4378453,14,3,67,2
4360853,29,8,35,1
4392597,32,16,41,1
4420693,55,24,83,1
4448789,5,11,57,1
4460949,45,17,85,1
4398229,14,9,55,2
4437781,1,9,51,0
4421584,39,22,23,2
4432912,18,24,43,1
4449296,23,9,41,2
4449616,23,24,65,1
4449680,36,22,23,2
4454672,20,12,41,2
4454736,18,24,43,1
4454992,39,25,23,2
4356240,42,24,88,1
4356432,40,4,16,1
4361808,8,7,61,1
4361872,13,0,63,1
4361232,23,22,23,2
4361296,10,22,23,2
4367120,41,25,23,2
4381136,13,0,68,1
4399504,40,4,66,1
4393040,30,22,23,2
4399568,40,4,16,1
4406800,9,4,36,1
4368848,23,3,38,2
4416464,40,4,17,1
4421840,14,24,52,1
4399120,6,9,41,2
4433680,9,4,36,1
4433744,9,4,29,1
4433808,9,4,29,1
4439248,40,4,29,1
4443664,13,0,82,1
4356496,30,3,87,2
4377744,48,3,64,2
4381712,30,25,24,2
4400400,48,3,38,2
4400784,45,3,64,2
4462160,23,3,64,2
4462224,30,3,64,2
4468688,30,3,64,2
4357264,39,24,59,1
4409424,14,9,67,2
4424272,44,9,50,0
4444752,39,24,59,1
4470672,14,9,67,2
4360144,26,24,41,1
4360464,20,17,20,1
4360848,29,8,35,1
4375056,14,1,46,1
4385616,45,23,85,1
4397328,14,24,52,1
4420432,36,14,41,1
4420624,55,24,83,1
4460880,14,24,33,1
4398352,36,9,39,2
4432848,20,3,38,2
4373264,8,9,51,0
4432915,18,24,43,1
4449683,30,22,23,2
4454739,18,24,43,1
4454995,39,25,23,2
4356243,42,24,88,1
4356435,40,4,16,1
4361875,13,0,63,1
4381075,40,4,54,1
4381139,13,0,68,1
